city,latitude,longitude,country,citycode,density,timezone
Saint-Oblas,45.5674,5.0447,France,FR-ARA,120.3,Europe/Paris
Louresse,47.2393,-0.3134,France,FR-R,40.7,Europe/Paris
Olmet,44.9542,2.6108,Australia,FR-ARA,69.2,Europe/Paris
Olmet,45.7099,3.6615,France,FR-ARA,8.9,Europe/Paris
Gottenhouse,48.7211,7.3621,France,FR-GES,329.4,Europe/Paris
Bergues,50.9688,2.4324,France,FR-HDF,2630.4,Europe/Paris
Villelongue,45.8647,2.8817,France,FR-ARA,30.7,Europe/Paris
Saint-Martin-d’Arrossa,43.2378,-1.313,France,FR-NAQ,25.7,Europe/Paris
Marre,49.2101,5.3008,France,FR-GES,18.1,Europe/Paris
Neuve-Maison,49.9309,4.0326,France,FR-HDF,74.7,Europe/Paris
Housseras,48.3109,6.7098,France,FR-GES,24.5,Europe/Paris
Charmes,46.0752,3.2521,France,FR-ARA,47.5,Europe/Paris
La Bastide-des-Fons,43.8326,3.2055,France,FR-OCC,4.3,Europe/Paris
Fomerey,48.2203,6.3393,France,FR-GES,35.1,Europe/Paris
Le Suchois,47.6231,3.4614,France,FR-BFC,22.2,Europe/Paris
Vandelainville,49.0171,5.9768,France,FR-GES,82.6,Europe/Paris
Soumensac,44.69,0.3269,France,FR-NAQ,23.8,Europe/Paris
Saint-Amand-le-Petit,45.7754,1.751,France,FR-NAQ,6.3,Europe/Paris
Caldaja,41.5861,9.3009,France,FR-H,68.1,Europe/Paris
Nizan-Gesse,43.2335,0.5975,France,FR-OCC,10,Europe/Paris
Oberdorff,49.2738,6.5925,France,FR-GES,81.7,Europe/Paris
Bocca di l’Oru,41.5462,9.2852,France,FR-H,68.1,Europe/Paris
Les Mottes,49.6636,0.7811,France,FR-NOR,73.1,Europe/Paris
Montheries,48.1677,4.9093,France,FR-GES,4.6,Europe/Paris
Reux,49.2763,0.1562,France,FR-NOR,55.7,Europe/Paris
Keranfubu,48.4748,-3.2661,France,FR-E,30.1,Europe/Paris
La Colle-sur-Loup,43.6865,7.1038,France,FR-U,846.3,Europe/Paris
Chambley,49.0485,5.8984,France,FR-GES,37.9,Europe/Paris
Le Mas du Bourg,45.5548,-0.0983,France,FR-NAQ,33.7,Europe/Paris
La Bastide-de-Besplas,43.1663,1.2752,France,FR-OCC,42.2,Europe/Paris
Calasima,42.3328,8.9519,France,FR-H,2.6,Europe/Paris
Coutras,45.0407,-0.1289,France,FR-NAQ,254.6,Europe/Paris
Condat,45.3408,2.7566,France,FR-ARA,21.8,Europe/Paris
Condat,45.3438,3.6009,France,FR-ARA,6.5,Europe/Paris
Marly,50.3456,3.5496,France,FR-HDF,1488.9,Europe/Paris
Roya,44.1833,6.9333,France,FR-U,8.3,Europe/Paris
Sainte-Pience,48.7588,-1.3003,France,FR-NOR,37.7,Europe/Paris
Verne,45.1686,4.2537,France,FR-ARA,53.6,Europe/Paris
Verne,46.5216,2.9798,France,FR-ARA,13,Europe/Paris
Musigny,47.1629,4.52,France,FR-BFC,12.4,Europe/Paris
Braslou,47.0002,0.3923,France,FR-F,21.2,Europe/Paris
Le Mage,48.5508,1.2931,France,FR-F,29.6,Europe/Paris
Velogny,47.4038,4.4627,France,FR-BFC,11.8,Europe/Paris
Aguts,43.5305,1.9204,France,FR-OCC,28.8,Europe/Paris
Maulnes,47.8928,4.2213,France,FR-BFC,3.8,Europe/Paris
Bunus,43.2098,-1.0694,France,FR-NAQ,24.5,Europe/Paris
Brétigny,49.2146,0.6783,France,FR-NOR,35.5,Europe/Paris
Brétigny,49.9178,1.3215,France,FR-NOR,30.3,Europe/Paris
Les Arnoux,46.6898,3.481,France,FR-BFC,18.7,Europe/Paris
La Villeneuve,45.1738,4.8906,France,FR-ARA,99.7,Europe/Paris
Ainac,44.2167,6.2,France,FR-U,5.1,Europe/Paris
Château-Gontier,47.8287,-0.7027,France,FR-R,421.3,Europe/Paris
Les Passerats,48.0303,2.8932,France,FR-F,64.5,Europe/Paris
Saint-Martin-Plage,49.968,1.2033,France,FR-NOR,219.1,Europe/Paris
Manin,50.2977,2.5116,France,FR-HDF,40.8,Europe/Paris
Laas,43.4689,0.3109,France,FR-OCC,28.4,Europe/Paris
Bazoches-les-Gallerandes,48.1654,2.0432,France,FR-F,40,Europe/Paris
Novella,42.5846,9.1172,France,FR-H,3.5,Europe/Paris
Clairefontaine,48.6127,1.9129,France,FR-J,44.3,Europe/Paris
Chênedouit,48.7593,-0.3419,France,FR-NOR,19.9,Europe/Paris
Récicourt,49.1412,5.157,France,FR-GES,12.2,Europe/Paris
Plassac,45.1041,-0.6471,France,FR-NAQ,110.6,Europe/Paris
Plassac,45.4668,-0.5683,France,FR-NAQ,72.3,Europe/Paris
Plassac,45.5264,0.0645,France,FR-NAQ,31.2,Europe/Paris
Le Vernay,44.9702,5.6081,France,FR-ARA,49.4,Europe/Paris
Dessenheim,47.9777,7.4889,France,FR-GES,67.3,Europe/Paris
Soisy-sur-Seine,48.6488,2.4522,France,FR-J,820.9,Europe/Paris
Saint-Pardoux-de-Mareuil,45.4356,0.4449,France,FR-NAQ,44.5,Europe/Paris
Touille,43.08,0.9736,France,FR-OCC,48.7,Europe/Paris
Croisette,50.3548,2.2604,France,FR-HDF,40.9,Europe/Paris
Les Garots,46.5662,2.9591,France,FR-ARA,13.9,Europe/Paris
Landricourt,48.6165,4.8106,France,FR-GES,24.1,Europe/Paris
Mouton,45.8913,0.2426,France,FR-NAQ,25.5,Europe/Paris
Mauny,49.3842,0.8848,France,FR-NOR,19.8,Europe/Paris
Mérignas,44.7845,-0.0872,France,FR-NAQ,30.3,Europe/Paris
Les Moulins,44.9817,4.0553,France,FR-ARA,40.8,Europe/Paris
Les Moulins,45.104,4.2228,France,FR-ARA,29,Europe/Paris
Les Moulins,44.7672,5.7243,France,FR-ARA,10.8,Europe/Paris
Nogent-le-Bas,48.0197,5.3332,France,FR-GES,68.2,Europe/Paris
Le Buat,48.6344,-1.1739,France,FR-NOR,45.9,Europe/Paris
Saizenay,46.9626,5.9149,France,FR-BFC,26.9,Europe/Paris
Collonges-au-Mont-d’Or,45.8239,4.8402,France,FR-ARA,1087.4,Europe/Paris
Viâpres-le-Petit,48.5633,4.0427,France,FR-GES,12.3,Europe/Paris
Machy,48.1383,4.0477,France,FR-GES,35.8,Europe/Paris
Les Adoux,46.0167,1.4833,France,FR-NAQ,53.2,Europe/Paris
Auch,43.6465,0.5855,France,FR-OCC,294.9,Europe/Paris
La Barantonnerie,48.6833,1.85,France,FR-J,539.6,Europe/Paris
Sabaillan,43.4424,0.8115,France,FR-OCC,14.3,Europe/Paris
Villeneuve-sur-Bellot,48.862,3.3414,France,FR-J,129.6,Europe/Paris
Verlans,47.5716,6.719,France,FR-BFC,188.3,Europe/Paris
Goutte-des-Saints,46.5819,2.3958,France,FR-F,5.3,Europe/Paris
Sarcenas,45.2736,5.758,France,FR-ARA,36.9,Europe/Paris
Sarcenas,45.2102,4.3867,France,FR-ARA,23.4,Europe/Paris
Bonnebosq,49.2035,0.0779,France,FR-NOR,60.3,Europe/Paris
Lisle-en-Barrois,48.8965,5.1256,France,FR-GES,1.3,Europe/Paris
La Planche de Gourdon,44.7315,4.4482,France,FR-ARA,7.9,Europe/Paris
La Ribeyrie,44.8885,0.5506,France,FR-NAQ,90.2,Europe/Paris
Châtres-la-Forêt,48.1333,-0.4305,France,FR-R,64.3,Europe/Paris
La Caillère,45.7529,0.3394,France,FR-NAQ,88.9,Europe/Paris
Tornay,47.7002,5.6063,France,FR-GES,4.6,Europe/Paris
Bailly,49.4957,2.9697,France,FR-HDF,158.7,Europe/Paris
Arengosse,44.0031,-0.7881,France,FR-NAQ,11.6,Europe/Paris
Montremont,45.8581,6.2801,France,FR-ARA,121.7,Europe/Paris
Quellenec,48.0167,-4.0333,France,FR-E,215.3,Europe/Paris
Bois-Champ-Beau,48.3583,2.2228,France,FR-J,19.8,Europe/Paris
Kerydreuf-en-Plouhinec,48.039,-4.4813,France,FR-E,128.5,Europe/Paris
Kermaquer,48.6833,-3.6667,France,FR-E,173.9,Europe/Paris
Monségur,44.6506,0.0806,France,FR-NAQ,107.8,Europe/Paris
Monségur,43.4317,-0.0154,France,FR-NAQ,53.7,Europe/Paris
Monségur,44.4842,0.8796,France,FR-NAQ,33.1,Europe/Paris
Monségur,43.6048,-0.5421,France,FR-NAQ,22.5,Europe/Paris
Kerguec’h,47.3617,-3.2484,France,FR-E,38.6,Europe/Paris
L’Écaille,49.4168,4.212,France,FR-GES,26.9,Europe/Paris
Leffincourt,49.3873,4.5467,France,FR-GES,10.7,Europe/Paris
Bousignies-sur-Roc,50.2632,4.1821,France,FR-HDF,36.7,Europe/Paris
Mercenac,43.0405,1.0775,France,FR-OCC,32.2,Europe/Paris
Bas Bourg,48.1167,-0.9833,France,FR-R,244.6,Europe/Paris
Spelonca,42.1316,8.9774,France,FR-H,1.8,Europe/Paris
Le Port,42.8693,1.3725,France,FR-OCC,4.4,Europe/Paris
Bougès,44.3016,3.6931,France,FR-OCC,5.5,Europe/Paris
Fléré-la-Rivière,47.0201,1.1079,France,FR-F,24.3,Europe/Paris
Le Marais de Sin,50.3757,3.1193,France,FR-HDF,1571.7,Europe/Paris
Ricarville,49.6353,0.6073,France,FR-NOR,76,Europe/Paris
Le Passage,48.391,-4.3801,France,FR-E,285.2,Europe/Paris
Chourgnac,45.2365,1.0598,France,FR-NAQ,11.9,Europe/Paris
Berrogain,43.2518,-0.8545,France,FR-NAQ,27.1,Europe/Paris
Pont-Arcy,49.3945,3.6306,France,FR-HDF,39.7,Europe/Paris
Lanne,43.1646,0.014,France,FR-OCC,108.3,Europe/Paris
Écuillon,48.1186,1.7479,France,FR-F,13.3,Europe/Paris
Bienville,48.5758,5.0458,France,FR-GES,98.1,Europe/Paris
Montmort,48.9246,3.8093,France,FR-GES,19.7,Europe/Paris
Cliponville,49.6886,0.682,France,FR-NOR,73.9,Europe/Paris
Bretten,47.7013,7.0695,France,FR-GES,57.8,Europe/Paris
Saint-Marcel-lès-Annonay,45.2861,4.6262,France,FR-ARA,85,Europe/Paris
Vigneul-sous-Montmédy,49.5104,5.3333,France,FR-GES,23.4,Europe/Paris
Rodelle,44.4906,2.6265,France,FR-OCC,18.9,Europe/Paris
Vauciennes,49.05,3.8833,France,FR-GES,569.2,Europe/Paris
Tignécourt,48.0427,5.8927,France,FR-GES,5.9,Europe/Paris
Le Marot,48.0667,3.85,France,FR-GES,11.1,Europe/Paris
Bouconville,48.5944,1.4508,France,FR-F,33,Europe/Paris
Chêne-Bernard,46.9204,5.4808,France,FR-BFC,20.8,Europe/Paris
Infray,49.9838,1.6308,France,FR-HDF,46.6,Europe/Paris
Stas,48.18,2.0631,France,FR-F,40,Europe/Paris
Angé,47.3316,1.2447,France,FR-F,46.8,Europe/Paris
Toulon-sur-Allier,46.5177,3.3592,France,FR-ARA,29.3,Europe/Paris
La Bruguière,44.1113,4.4127,France,FR-OCC,23,Europe/Paris
Gourette,42.9667,-0.3333,France,FR-NAQ,5.2,Europe/Paris
Couëtreux,47.6005,-1.468,France,FR-R,48.3,Europe/Paris
Grasse,43.6667,6.9167,France,FR-U,1287.9,Europe/Paris
La Truchère,46.5162,4.9522,France,FR-BFC,41.7,Europe/Paris
Belleuse,49.7067,2.1162,France,FR-HDF,48,Europe/Paris
Brethenoux,45.8412,0.7824,France,FR-NAQ,37.6,Europe/Paris
Saint-Cirq,44.9256,0.9688,France,FR-NAQ,17.8,Europe/Paris
Arraggio,41.6444,9.2665,France,FR-H,36.6,Europe/Paris
Stuckange,49.3266,6.2381,France,FR-GES,285.8,Europe/Paris
Saint-Germain-sur-Sèves,49.2221,-1.3694,France,FR-NOR,22,Europe/Paris
La Pomelie,45.3499,1.1807,France,FR-NAQ,17.8,Europe/Paris
La Boissière,48.7718,1.9811,France,FR-J,2198.4,Europe/Paris
La Boissière,47.9203,-3.9028,France,FR-E,461.5,Europe/Paris
La Boissière,47.95,-1.6333,France,FR-E,107.3,Europe/Paris
La Boissière,48.0187,-4.2518,France,FR-E,91.8,Europe/Paris
La Croix de Chenoise,48.6134,3.1797,France,FR-J,36.4,Europe/Paris
La Boissière,48.1748,1.849,France,FR-F,19.9,Europe/Paris
Villerajouze,46.0117,1.0068,France,FR-NAQ,12.2,Europe/Paris
Maltaverne,47.9994,2.7855,France,FR-F,284.8,Europe/Paris
Fey-en-Haye,48.903,5.9612,France,FR-GES,10.7,Europe/Paris
Saint-Huret,46.5667,2.38,France,FR-F,5.3,Europe/Paris
Triac,45.6774,-0.1163,France,FR-NAQ,75.6,Europe/Paris
Roquelaure,43.7196,0.5793,France,FR-OCC,28.7,Europe/Paris
Le Mesnil-Rainfray,48.6669,-1.0568,France,FR-NOR,21.6,Europe/Paris
Chéry,47.1211,2.0461,France,FR-F,16.8,Europe/Paris
La Sabotterie,49.5461,4.6703,France,FR-GES,20,Europe/Paris
Peuplingues,50.9141,1.7651,France,FR-HDF,69.5,Europe/Paris
La Thibauderie,47.0474,2.57,France,FR-F,30.5,Europe/Paris
Ouerray,48.4315,1.4175,France,FR-F,92.7,Europe/Paris
Samson,47.0538,5.8789,France,FR-BFC,41.1,Europe/Paris
Boitron,48.5591,0.2602,France,FR-NOR,33.5,Europe/Paris
Loye-sur-Arnon,46.653,2.387,France,FR-F,8.9,Europe/Paris
Sainte-Honorine-la-Chardonnerette,49.2086,-0.274,France,FR-NOR,250.4,Europe/Paris
Notre-Dame-de-Monts,46.831,-2.1317,France,FR-R,96.3,Europe/Paris
Maurès,44.6901,0.804,France,FR-NAQ,19.6,Europe/Paris
Saint-Leau,48.0941,-2.6006,France,FR-E,26.9,Europe/Paris
Bosc-Édeline,49.5704,1.4263,France,FR-NOR,54.9,Europe/Paris
Cret d’Aiguilly,46.0727,4.1391,France,FR-ARA,57.7,Europe/Paris
La Pommeraye,47.3553,-0.8601,France,FR-R,106.1,Europe/Paris
Élancourt,48.7847,1.9589,France,FR-J,2672.8,Europe/Paris
Glasenberg,49.0308,7.3641,France,FR-GES,96.6,Europe/Paris
Pierrefitte-sur-Sauldre,47.5125,2.1503,France,FR-F,11.3,Europe/Paris
Kervalet,47.2797,-2.4601,France,FR-R,524.7,Europe/Paris
Morteaux-Couliboeuf,48.9248,-0.0685,France,FR-NOR,46.5,Europe/Paris
La Sibotière,48.4973,0.8715,France,FR-NOR,11.8,Europe/Paris
Les Riceys,47.9939,4.3699,France,FR-GES,30.6,Europe/Paris
Le Vial,45.2333,5.3167,France,FR-ARA,49.9,Europe/Paris
Bugnières,47.9432,5.1017,France,FR-GES,9.2,Europe/Paris
Jola,42.068,9.2742,France,FR-H,5.4,Europe/Paris
Floyon,50.0422,3.8867,France,FR-HDF,29,Europe/Paris
Les Mazières,46.1596,2.7407,France,FR-ARA,14.5,Europe/Paris
Chamadelle,45.1035,-0.0768,France,FR-NAQ,47.1,Europe/Paris
